Hodo,HODO,《HODO》是一款Android平台的应用。
其它,其它,其它，即"其余的它者"，物主代词。在“其他”作人称代词时，其他与其它是区别的；在“其他”表示其余者而用于物称时，二者就可以换用。古汉语里有的也写作“其佗”，佗是物主代词，如《左传·隐公元年》”佗邑唯命“，它也是物主代词，如《后汉书·列女传》”无它异“。佗、它通假而用，类似通假在先秦秦汉是普遍现象。古汉语不区分其他与其它，现代汉语里他作为人称代词而它作为物主代词了，因此，在现代汉语环境，谈物时，用“其他”是继承古代用法，用“其它”是新环境里的合逻辑用法，都可以。
暇步士,暇步士,暇步士HushPuppies品牌的创始人Mr.JimMuir（吉姆-缪尔）曾对该品牌做精神定义，他认为：“HushPuppies应被视为一个家族品牌（FamilyBrand），它是没有性别及年龄的区别，属于家族全体的休闲服饰商品。”40多年来，HushPuppies凭着对创造理念的坚持，至今足迹已遍布世界120个国家，2000多个城市，其中包括美国、澳大利亚、日本、韩国、新加坡、印尼、中国及欧洲等国家等。暇步士HushPuppies品牌的休闲鞋及服装先后于1997年和2000年进入中国市场，数年来在休闲品牌类占有一席之地。2002年，HushPuppies品牌的手表及包类亦正式登陆中国内地，使这个家族性品牌的商品更趋成熟及多元化。通过将主要经营点建在最新的购物中心和最好的百货商场，暇步士维护了它的强势国际品牌地位。在中国一些专柜的介绍中，暇步士男装甚至成了“美国精神的象征”。服装品牌尤其要有文化味在分析中国作为服装大国的品牌窘态问题时。
Dcshoecousa,DCSHOECOUSA,总部设在加州Vista的DC鞋业公司是引领滑板鞋业的一大品牌，DC的产品已经涵盖了专业滑板鞋、服装、滑雪产品等系列产品。而新推出的DC女装款式将包括鞋子，衣服，滑雪外套和滑雪靴等。随着越来越多的运动品牌推出女装系列，专业女式运动产品市场已经成为炙手可热的产品平台，相信会有更多更好的优秀女性主题专业产品出现在滑板市场中。
翠迪鸟,崔弟,崔弟（TweetyBird），又译为翠儿，翠迪。诞生于1942年，是由当时的华纳兄弟电影公司出品的动画《乐一通》系列里出现的一个小明星。他经常和傻大猫做拍挡。
维杰斯,维杰斯,维杰斯（WINJEANS）是JeansArelGroupInc.（亚太区）与厦门魏晋风度商贸有限公司合作经营的品牌。发掘中国元素，取魏晋风度（WEIJINSTYLE）品牌英文首字母，加之严谨、聪明、有绅士风度、有胆识、富有野心、爱冒险、喜欢表现自己的美国牛仔精神，打造了新的“维杰斯（WINJEANS）”品牌，把"ICan"的精神和中国魏晋时期“简约云澹，超然绝俗”理念精髓融入品牌文化中，演绎中西文化元素完美结合的个性服饰系列。
克姆奇,克姆奇,克姆奇是智利的城镇，位于该国中南部湖大区的奇洛埃省，始建于1882年4月18日。
别克,别克,别克（Buick）是由美国通用汽车公司在美国、加拿大和中国营销的一个汽车品牌。它在北美、中国、独联体国家以及中东都有销售。
热风,热风,Hotwind热风于1996年始创于时尚之都—上海，至今已发展成为国内知名的集设计、精选和销售于一体，商品涵盖鞋品、服装、包、配饰及部分时尚生活用品的精选时尚零售连锁品牌。
狮王,奥利弗·卡恩,奥利弗·卡恩（OliverKahn）， 全名奥利弗·罗尔夫·卡恩（OliverRolfKahn）， 1969年6月15日出生于德国巴登-符腾堡州卡尔斯鲁厄，德国足球运动员，司职门将。卡恩出自于德甲卡尔斯鲁厄足球俱乐部青训营。1987年，卡恩升入卡尔斯鲁厄一线队开始职业生涯。1994年，卡恩转会至拜仁慕尼黑足球俱乐部，之后帮助拜仁慕尼黑获得8次德甲联赛冠军、6次德国杯冠军、1次欧洲冠军联赛冠军等多项荣誉，个人3次当选IFFHS世界最佳门将、4次当选欧洲最佳门将等。 2008年9月，卡恩正式宣布退役。 1994年，卡恩开始为德国国家队效力。1996年，卡恩跟随德国国家队夺得欧洲杯冠军。 1998年，卡恩在世界杯后成为德国国家队主力门将， 之后成为德国国家队队长，并参加了两届世界杯和两届欧洲杯，帮助德国国家队夺得2002年韩日世界杯亚军，个人荣膺世界杯金球奖和世界杯金手套奖。 
狄兰丝,狄兰丝,狄兰丝（DILANSI）创立于2008年，诞生地为“时尚之都”米兰，总部设在“丝绸之府”杭州。属杭州唛琪服饰有限公司旗下品牌。
FTT,ftt,ftt，第一个专门为连锁企业研发的培训师培训系统。
Tsai,Tsai,概述Tsai是百家姓中蔡的英文翻译在汉语拼音拉丁化以前都是将蔡译作Tsai台湾地区沿用至今相比汉语拼音的CaiTsai的英文发音跟贴近汉字蔡的发音如：蔡依林JolinTsai蔡康永KevinTsai
迪亚兹,卡梅隆·迪亚茨,卡梅隆·迪亚茨（CameronDiaz），1972年8月30日出生于美国加利福尼亚州圣地亚哥，美国女演员。1993年在经过了十二次试镜后，卡梅隆·迪亚茨出演了电影处女作《变相怪杰》 。在1996年的《爱上明尼苏达》中，卡梅隆·迪亚茨与基努·里维斯演对手戏。1997年，卡梅隆凭借在《标心者》中的表演得到MTV电影奖最佳表演奖的提名 。在1998年，卡梅隆·迪亚茨主演了《我为玛丽狂》。1999年，她出演的电影《傀儡人生》上映。2000年，卡梅隆参演了《纽约黑帮》，并为动画《怪物史莱克》配音。2008年，卡梅隆主演了喜剧爱情片《赌城无记事》 。2010年，卡梅隆与汤姆·克鲁斯合演了《危情谍战》 。2014年1月，42岁的卡梅隆·迪亚茨和35岁的摇滚乐手本基·马登（BenjiMadden）正式结婚 。
金三塔,金三塔,金三塔，始创于1926年，以代表嘉兴的三塔为名，意味着绸都嘉兴的真丝最高标准。致力于打造“时尚真丝内衣家居服”新体验，立志成为中国的“维多利亚的秘密”。金三塔品牌中心位于浙江嘉兴，金三塔产品的研发设计遍及意大利、美国、中国香港、上海、北京、广州等地。金三塔是浙江省商务厅颁布的第三批“浙江老字号”
娆蝶,娆蝶,
举目,举目,举目，读音jǔmù，汉语词语，指抬眼望。
冷兵器,冷兵器,冷兵器一般指不利用火药、炸药等热能打击系统、热动力机械系统和现代技术杀伤手段，在战斗中直接杀伤敌人，保护自己的武器装备，广义的冷兵器则指冷兵器时代所有的作战装备。狭义上冷兵器是指不带有火药、炸药或其他燃烧物，在战斗中直接杀伤敌人，保护自己的近战武器装备。广义的冷兵器则指冷兵器时代所有的作战装备。冷兵器的发展经历了石器时代、青铜时代和铁器时代三个阶段。冷兵器按材质分为石、骨、蚌、竹、木、皮革、青铜、钢铁等兵器；按用途分为进攻性兵器和防护装具，进攻性兵器又可分为格斗、远射和卫体3类；按作战方式分为步战兵器、车战兵器、骑战兵器、水战兵器和攻守城器械等；按结构形制分为短兵器、长兵器、抛射兵器、系兵器、护体装具、战车、战船等。火器时代开始后，冷兵器已不是作战的主要兵器，但因具有特殊作用，故一直延用至今。许多冷兵器是复合材料制成并兼有两种以上的用途、性质的。因以其主要材料和用途、性质划分类别。冷兵器出现于人类社会发展的早期，由耕作、狩猎等劳动工具演变而成，随着战争及生产水平的发展，经历了由低级到高级，由单一到多样，由庞杂到统一的发展完善过程。世界各国、各地R冷兵器的发展过程各有特点，但基本可归结为石木兵器时代、铜兵器时代、铁兵器时代和冷兵器、火器并用时代。其中石木兵器时代延续的时间最长。
Dreams In Avila,Dreams In Avila,DreamsInAvila，英国的知名服饰品牌，主要以经营箱包、围巾、丝巾、太阳镜、首饰等时尚饰品而闻名，将神秘、高贵和时尚融入产品，打破传统服饰惯有的陈规，拒绝千篇一律，形成独特的个性风格和敢于张扬自己的都市精神。它所引领的不仅是一种潮流，更是一种生活态度，DA倡导“LuxuryIsMyHeart”，奢华并不意味着奢侈，而是内心的品位。
奥康,奥康,奥康公司以制鞋为主业，并涉足商业地产、生物制品、金融投资等领域。企业年产值40多亿元，创利税6亿多元，品牌价值165.92亿元。集团实行母子公司管理体制，下辖国内外18个子公司和事业部。公司现有员工2万多人，拥有三大鞋业生产基地、五大鞋业品牌。在全国设立了30多个省级公司、3000多家连锁专卖店、800多处店中店。主导产品“奥康”牌皮鞋陆续获中国真皮领先鞋王、中国名牌产品、中国驰名商标等称号，并成为中国皮鞋行业唯一的标志性品牌。现在，集团旗下的奥康皮鞋、康龙休闲鞋、美丽佳人时尚女鞋、红火鸟鞋业都被国家质检总局评为国家免检产品。根据国家统计局公布的信息，公司连续三年位居中国工业企业行业效益十佳企业第一位。
苹果,苹果,苹果（学名：Maluspumila）是水果的一种，是蔷薇科苹果亚科苹果属植物，其树为落叶乔木。苹果的果实富含矿物质和维生素，是人们经常食用的水果之一。苹果是一种低热量食物，每100克只产生60千卡热量。苹果中营养成分可溶性大，易被人体吸收，故有“活水”之称。其有利于溶解硫元素，使皮肤润滑柔嫩 。据说“每天一苹果，医生远离我”。根据联合国粮农组织统计，2013年全世界的苹果产量为8082万吨，超过葡萄的7718万吨，排世界第二位（第一位是香蕉：1.067亿吨）。毫无疑问，苹果是温带水果之王。苹果营养丰富，味道甜美。 
cathyladi,cathyladi,卡丝拉狄（cathyladi），是由cathyladi于1912年在法国巴黎创立的品牌，至今已有百年历史。卡丝拉狄的产品包括女鞋，职场女装，女性时装、皮具、手表、领带、丝巾、女性香水、家居用品等，专注女性时尚，为女性打造专属女人们的气质美，款式设计等。蕴含着优雅、贵族、大方、唯美的气质，是卡丝拉狄品牌和其他奢侈品牌的区别。
卡帝乐鳄鱼,卡帝乐鳄鱼,卡帝乐鳄鱼（CARTELO）牌服饰是新加坡鳄鱼国际机构（私人）有限公司执行主席陈贤进博士于1947年开始在新加坡发起的；卡帝乐鳄鱼牌商品在国际激烈竞争下占有了新加坡、马来西亚、泰国、印度尼西亚、日本、韩国、印度、巴基斯坦、孟加拉、上海、尼泊尔、缅甸、文莱等国际市场后，于1993年成功地在上海市开设了第一家卡帝乐鳄鱼专卖店，2013年底在淘宝网开设官方旗舰店并于当年投资成立了上海东方鳄鱼服饰有限公司，在短短几年里年销售额已突破三亿元人民币。在全国各城市设有五百多个专卖店、专卖厅，生产和销售额为上海市企业二百强之列，伴随新世纪来临的钟声卡帝乐鳄鱼勇创佳绩——2000年、2001年T恤衫销量领先。
古驰,古驰,古驰是意大利的知名品牌一向以高档、豪华、性感而闻名于世，古驰现在是意大利最大的时装集团。
